Timestamp,CPU Usage,RAM Usage,GPU Utilization,GPU Memory Utilization,GPU Temperature,VRAM Usage,GPU Power,GPU Clock,GPU Memory Clock
2026-09-23 22:52:47,57.95,58.82,0.00,0.00,50,3.27,8.89,1500,5871
2026-09-23 22:52:49,17.41,58.74,0.00,0.00,50,3.27,8.93,1500,5871
2026-09-23 22:52:51,13.10,58.59,0.00,0.00,50,3.27,9.12,1500,5871
2026-09-23 22:52:53,14.90,58.50,0.00,0.00,50,3.27,9.55,1500,5871
2026-09-23 22:52:55,11.81,58.37,0.00,0.00,50,3.27,8.69,1500,5871
2026-09-23 22:52:57,17.20,57.99,0.00,0.00,50,3.27,9.15,1500,5871
2026-09-23 22:52:58,18.38,57.90,0.00,0.00,50,3.27,8.96,1500,5871
2026-09-23 22:53:00,15.00,57.90,0.00,0.00,50,3.27,8.96,1500,5871
2026-09-23 22:53:02,15.40,57.90,0.00,0.00,50,3.27,8.93,1500,5871
2026-09-23 22:53:03,15.95,57.89,0.00,0.00,50,3.27,8.97,1500,5871
2026-09-23 22:53:05,12.94,57.77,0.00,0.00,50,3.27,8.98,1500,5871
2026-09-23 22:53:07,16.32,57.76,0.00,0.00,50,3.27,8.87,1500,5871
2026-09-23 22:53:09,16.26,57.77,0.00,0.00,50,3.27,8.99,1500,5871
2026-09-23 22:53:11,11.66,57.76,0.00,0.00,50,3.27,8.90,1500,5871
2026-09-23 22:53:13,13.89,57.74,0.00,0.00,50,3.27,8.88,1500,5871
2026-09-23 22:53:14,10.92,57.74,0.00,0.00,50,3.27,8.91,1500,5871
2026-09-23 22:53:16,18.57,57.70,0.00,0.00,50,3.27,8.50,1500,5871
2026-09-23 22:53:18,16.60,57.25,0.00,0.00,50,3.27,9.61,1500,5871
2026-09-23 22:53:19,27.45,57.38,0.00,0.00,50,3.27,9.15,1500,5871
2026-09-23 22:53:21,28.42,56.35,0.00,0.00,50,3.27,9.65,1500,5871
2026-09-23 22:53:23,23.81,56.35,0.00,0.00,50,3.27,9.68,1500,5871
2026-09-23 22:53:25,22.31,56.31,0.00,0.00,50,3.27,8.88,1500,5871
2026-09-23 22:53:27,14.74,56.15,0.00,0.00,50,3.27,8.95,1500,5871
2026-09-23 22:53:29,14.47,56.31,0.00,0.00,50,3.27,8.99,1500,5871
2026-09-23 22:53:30,20.64,56.18,0.00,0.00,50,3.27,9.15,1500,5871
2026-09-23 22:53:32,12.29,56.16,0.00,0.00,50,3.27,8.81,1500,5871
2026-09-23 22:53:34,12.93,56.22,0.00,0.00,50,3.27,9.05,1500,5871
2026-09-23 22:53:35,21.85,56.14,0.00,0.00,50,3.27,9.14,1500,5871
2026-09-23 22:53:37,19.62,56.12,0.00,0.00,50,3.27,9.78,1500,5871
2026-09-23 22:53:39,14.90,56.09,0.00,0.00,50,3.27,9.19,1500,5871
2026-09-23 22:53:41,14.01,56.10,0.00,0.00,50,3.27,8.84,1500,5871
2026-09-23 22:53:43,17.20,56.06,0.00,0.00,50,3.27,8.81,1500,5871
